Cas592	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc
1	99.70535	97.55082	99.39763	97.20618	1097.05798	7044.47754	330.78085	0.00000	1.00000	544.51062	7418.23633	14343	1	-1	1	0	0
1	99.67587	97.69951	99.31507	97.28347	937.01984	3691.12012	253.20883	0.00000	1.00000	732.67096	3974.22803	14444	1	-1	1	0	0
1	99.69977	97.72241	99.32875	97.23801	1308.70422	5540.91602	261.08313	0.00000	1.00000	661.54181	6268.45654	14545	1	-1	1	0	0
1	99.72227	97.80251	99.30080	97.24755	1372.32385	5309.43799	246.34288	0.00000	1.00000	698.84277	5930.93066	14646	1	-1	1	0	0
1	99.85740	97.90200	99.45394	97.28999	1057.86340	8752.89453	367.22958	0.00000	1.00000	510.17136	9140.71777	14747	1	-1	1	0	0
1	99.48250	97.84811	99.22044	97.25260	1213.79700	6904.76074	301.20529	0.00000	1.00000	567.93048	7746.73584	14848	1	-1	1	0	0
1	99.54018	97.79030	99.31027	97.20449	1137.72021	4134.25635	246.86604	0.00000	1.00000	660.08057	4741.98584	14949	1	-1	1	0	0
1	99.67255	97.92482	99.34287	97.32104	993.86407	4162.21777	261.11243	0.00000	1.00000	696.94836	4649.29102	15050	1	-1	1	0	0
1	99.74812	97.77997	99.42725	97.16678	1229.70251	4940.25000	255.87968	0.00000	1.00000	667.76074	5610.98340	15151	1	-1	1	0	0
1	99.42136	97.97958	99.16585	97.35105	1335.92468	6114.24072	272.91058	0.00000	1.00000	599.87463	6694.13232	15252	1	-1	1	0	0
1	99.75092	97.77863	99.44237	97.21709	1617.64844	5753.53418	240.66037	0.00000	1.00000	673.94586	6238.35547	15353	1	-1	1	0	0
1	99.62160	97.71568	99.29121	97.22219	1167.18530	4246.57861	243.33612	0.00000	1.00000	650.90826	4820.29346	15454	1	-1	1	0	0
1	99.64101	97.77274	99.31756	97.26823	1235.54175	4959.24756	255.64763	0.00000	1.00000	636.54565	5285.35840	15555	1	-1	1	0	0
1	99.70461	97.76434	99.36382	97.23923	1099.73474	5937.52686	296.73764	0.00000	1.00000	642.02368	6259.40820	15656	1	-1	1	0	0
1	99.62450	97.80749	99.29802	97.30103	1452.95532	4252.17920	218.36739	0.00000	1.00000	666.94720	4965.31982	15757	1	-1	1	0	0
1	99.66633	97.65102	99.35130	97.16526	1011.95367	5147.01660	295.26886	0.00000	1.00000	622.07318	6180.17236	15858	1	-1	1	0	0
1	99.61510	97.84499	99.37320	97.28903	1204.30054	5320.82227	268.29553	0.00000	1.00000	663.25055	5781.73633	15959	1	-1	1	0	0
1	99.37957	97.89140	99.22219	97.30543	882.70367	5502.39844	318.74567	0.00000	1.00000	606.61768	5964.55811	16060	1	-1	1	0	0
1	99.57226	97.72031	99.33415	97.23019	1659.11047	6311.36572	248.97462	0.00000	1.00000	636.21924	6882.51904	16161	1	-1	1	0	0
1	99.74494	97.63437	99.35399	97.14232	794.47388	4332.38135	297.29892	0.00000	1.00000	629.71429	4657.14160	16262	1	-1	1	0	0
1	99.81626	97.99389	99.36771	97.36283	982.16754	3544.94849	242.00534	0.00000	1.00000	701.00818	4445.79541	16363	1	-1	1	0	0
1	99.72820	97.90800	99.28939	97.32784	1083.34302	8044.59863	346.88144	0.00000	1.00000	582.40247	8351.94043	16464	1	-1	1	0	0
